val_loss,val_acc,epoch,step,train_loss_epoch,train_acc_epoch,train_loss_step,train_acc_step,test_loss,test_acc
1.1658196449279785,0.7657999992370605,0,47,,,,,,
,,0,47,1.5165618658065796,0.5817667841911316,,,,
,,1,49,,,0.8246374726295471,0.8134765625,,
0.5302466154098511,0.859499990940094,1,95,,,,,,
,,1,95,0.6523914933204651,0.84075927734375,,,,
,,2,99,,,0.4976244568824768,0.880859375,,
0.4188750982284546,0.8876000046730042,2,143,,,,,,
,,2,143,0.4671843349933624,0.8795573115348816,,,,
,,3,149,,,0.37868043780326843,0.908203125,,
0.361666738986969,0.9021999835968018,3,191,,,,,,
,,3,191,0.38909411430358887,0.8965657353401184,,,,
,,4,199,,,0.363206684589386,0.90234375,,
0.32357168197631836,0.9114000201225281,4,239,,,,,,
,,4,239,0.34319639205932617,0.9074503779411316,,,,
,,5,249,,,0.32394495606422424,0.90625,,
0.30063188076019287,0.9164999723434448,5,287,,,,,,
,,5,287,0.3116469085216522,0.9154052734375,,,,
,,6,299,,,0.31398099660873413,0.916015625,,
0.2794470489025116,0.9225000143051147,6,335,,,,,,
,,6,335,0.28824102878570557,0.9214274287223816,,,,
,,7,349,,,0.30037233233451843,0.91796875,,
0.264272004365921,0.9279000163078308,7,383,,,,,,
,,7,383,0.2712312936782837,0.9250285029411316,,,,
,,8,399,,,0.25275561213493347,0.931640625,,
0.25157684087753296,0.930899977684021,8,431,,,,,,
,,8,431,0.2572196424007416,0.9286906123161316,,,,
,,9,449,,,0.2459389865398407,0.9248046875,,
0.24068988859653473,0.9340999722480774,9,479,,,,,,
,,9,479,0.24535302817821503,0.9314371943473816,,,,
,,10,499,,,0.23085062205791473,0.9423828125,,
0.23183274269104004,0.9355000257492065,10,527,,,,,,
,,10,527,0.23435212671756744,0.9346923828125,,,,
,,11,549,,,0.2214975357055664,0.935546875,,
0.22385549545288086,0.9362999796867371,11,575,,,,,,
,,11,575,0.22717352211475372,0.93621826171875,,,,
,,12,599,,,0.2750035226345062,0.919921875,,
0.21709448099136353,0.9373000264167786,12,623,,,,,,
,,12,623,0.2190413922071457,0.9379679560661316,,,,
,,13,649,,,0.24309957027435303,0.9384765625,,
0.2106449455022812,0.9394999742507935,13,671,,,,,,
,,13,671,0.2121441513299942,0.93994140625,,,,
,,14,699,,,0.23760777711868286,0.9375,,
0.2054968923330307,0.9416000247001648,14,719,,,,,,
,,14,719,0.20680402219295502,0.9407755732536316,,,,
,,15,749,,,0.2123676985502243,0.9365234375,,
0.20051755011081696,0.9426000118255615,15,767,,,,,,
,,15,767,0.2014782428741455,0.9423828125,,,,
,,16,799,,,0.23140589892864227,0.9287109375,,
0.19667521119117737,0.9442999958992004,16,815,,,,,,
,,16,815,0.195975199341774,0.9442138671875,,,,
,,17,849,,,0.1790325790643692,0.9423828125,,
0.19172725081443787,0.9455000162124634,17,863,,,,,,
,,17,863,0.19159632921218872,0.9446614384651184,,,,
,,18,899,,,0.2175552099943161,0.9375,,
0.18864423036575317,0.9455000162124634,18,911,,,,,,
,,18,911,0.18786610662937164,0.9456583857536316,,,,
,,19,949,,,0.19798661768436432,0.9462890625,,
0.18470008671283722,0.9465000033378601,19,959,,,,,,
,,19,959,0.18428993225097656,0.9470621943473816,,,,
,,20,960,,,,,0.16841566562652588,0.9516000151634216
